ID	NAME
cancer_biomass	cancer_biomass
m02732	phosphatidate-LD-SM pool
m00215	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine
m01364	arachidonyl-CoA
m02501	N1,N12-diacetylspermine
m00808	3-isoLM1
m00976	4-cholesten-7alpha,12alpha,24(S)-triol-3-one
m02247	keratan sulfate I, degradation product 19
m01105	5-hydroxykynurenamine
m00130	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine
m00848	3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate
m00739	3,5-diiodo-L-tyrosine
m01366	argininosuccinate
m01449	cholestenol
m02369	leukotriene E4
m01663	delta1-piperideine-2-carboxylate
m02777	prostaglandin A2
m01691	dichloroacetate
m02379	L-gulono-1,4-lactone
m02441	malonic-dialdehyde
m00362	13-oxo-(9Z,11E)-tridecadienoate
m01099	5-formiminotetrahydrofolate
m00190	[myosin light chain]
m01229	9-cis-4-oxo-13,14-dihydro-retinoate
m03015	trans,cis-2,15-tetracosadienoyl-CoA
m01668	deoxycytidine
m00719	3,3,5-triiodo-L-thyronine-beta-D-glucuronoside
m01906	Gal2-Xyl-L-Ser-[protein]
m00714	3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA
m01225	9-carboxy-alpha-chromanol
m01835	formylanthranilate
m02872	SAICAR
m02690	pentadecylic acid
m00229	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal
m01538	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5
m01537	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4
m01536	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3
m00978	4-cholesten-7alpha,24(S)-diol-3-one
m01534	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1
m02399	lipoyllysine
m02018	GP1c
m00070	(2E)-undecenoyl-[ACP]
m02710	peptidylproline-(omega=180)
m01471	cholesterol-ester-6,9,12,15,18,21-tetra
m00053	(2E)-hexenoyl-CoA
m00668	2-naphthol
m02388	linoleic-carnitine
m00401	16e-18-oxo-18-CoA-dinor-LTE4
m01920	galthcrm heparan sulfate
m02185	isomaltose
m03027	trans-2,3-dehydropristanoyl-CoA
m02580	N-hydroxy-1-aminonaphthalene
m00341	13,16,19-docosatrienoic acid
m02806	PRPP
m00952	4-acetamidobutanoate
m01423	carnosine
