ID	STRING
cancer_biomass_reaction	[0.00347][m00240][c] + [0.00489][m00490][c] + [0.00354][m00656][c] + [0.42021][m01307][c] + [0.01963][m01334][c] + [0.00328][m01365][c] + [0.04268][m01369][c] + [2.4523][m01370][c] + [0.03755][m01450][c] + [0.01925][m01451][r] + [0.00077][m01589][c] + [0.03272][m01590][c] + [0.00427][m01628][c] + [0.00805][m01639][c] + [0.00537][m01644][c] + [0.00537][m01686][c] + [0.00805][m01752][c] + [0.59421][m01974][c] + [0.67628][m01975][c] + [0.49244][m01986][c] + [0.03709][m02016][c] + [0.10177][m02125][c] + [0.01313][m02184][c] + [0.0394][m02360][c] + [0.03283][m02426][c] + [0.00657][m02471][c] + [0.03407][m02684][c] + [0.03384][m02685][c] + [0.01313][m02724][c] + [0.02452][m02733][c] + [0.00646][m02750][c] + [0.06369][m02770][c] + [0.01087][m02808][c] + [0.13132][m02896][c] + [0.00706][m02908][c] + [0.02525][m02958][c] + [0.07222][m02993][c] + [0.00328][m03089][c] + [0.0197][m03101][c] + [0.01963][m03114][c] + [0.04268][m03135][c] + [0.93989][m03161][c] <=> [1.0][cancer_biomass][c]
HMR_6942	[1.0][m02040][s] + [1.0][m02630][s] + [1.0][m02923][s] => [1.0][m02041][s] + [1.0][m02578][s] + [1.0][m02921][s]
HMR_6941	[1.0][m02040][c] + [1.0][m02630][c] + [1.0][m02923][c] => [1.0][m02041][c] + [1.0][m02578][c] + [1.0][m02921][c]
HMR_4762	[1.0][m01358][m] + [1.0][m02049][m] => [1.0][m01631][m]
HMR_4149	[1.0][m01371][c] + [1.0][m01597][c] + [1.0][m01587][c] => [1.0][m01285][c] + [1.0][m02633][c] + [1.0][m02751][c] + [1.0][m01261][c]
HMR_6940	[1.0][m01597][c] + [1.0][m02518][c] <=> [1.0][m01261][c] + [1.0][m02923][c]
HMR_4141	[1.0][m02039][m] + [1.0][m02553][m] + [1.0][m02633][m] <=> [1.0][m02552][m] + [1.0][m02439][m]
HMR_4143	[1.0][m01371][m] + [1.0][m02039][m] + [1.0][m02046][m] + [1.0][m02819][m] => [1.0][m01285][m] + [1.0][m02633][m] + [1.0][m02751][m]
HMR_4145	[1.0][m01597][m] + [1.0][m01587][m] <=> [1.0][m02040][m] + [1.0][m02633][m] + [1.0][m01261][m]
HMR_4147	[1.0][m01597][m] + [1.0][m02034][m] + [1.0][m02943][m] <=> [1.0][m01948][m] + [1.0][m02751][m] + [1.0][m02944][m]
HMR_8329	[1.0][m00744][c] <=> [1.0][m00744][s]
HMR_8328	[1.0][m00744][c] <=> [1.0][m00744][g]
HMR_8321	[1.0][m02198][c] <=> [1.0][m02198][s]
HMR_8320	[1.0][m02198][c] <=> [1.0][m02198][g]
HMR_8323	[1.0][m02331][c] <=> [1.0][m02331][g]
HMR_8322	[1.0][m01950][g] + [1.0][m02330][g] => [1.0][m01948][g] + [1.0][m02331][g]
HMR_8325	[1.0][m01592][g] + [1.0][m02330][g] => [1.0][m01590][g] + [1.0][m02904][g]
HMR_8324	[1.0][m02331][c] <=> [1.0][m02331][s]
HMR_8327	[1.0][m01592][g] + [1.0][m02904][g] => [1.0][m00744][g] + [1.0][m01590][g]
HMR_8326	[1.0][m01950][g] + [1.0][m02904][g] => [1.0][m01948][g] + [1.0][m02199][g]
HMR_5099	[1.0][m02039][c] + [1.0][m03101][c] <=> [1.0][m02039][m] + [1.0][m03101][m]
HMR_5094	[1.0][m02658][s] => [1.0][m02658][c]
HMR_5096	[1.0][m01369][c] => [1.0][m01369][m]
HMR_5091	[1.0][m02993][s] => [1.0][m02993][c]
HMR_5092	[1.0][m02184][c] <=> [1.0][m02184][s]
HMR_4858	[1.0][m01910][c] <=> [1.0][m01910][s]
HMR_4329	[1.0][m02040][s] + [1.0][m01626][s] => [1.0][m01628][s] + [1.0][m01986][s]
HMR_4328	[1.0][m02040][c] + [1.0][m01626][c] => [1.0][m01628][c] + [1.0][m01986][c]
HMR_4324	[1.0][m01371][c] + [1.0][m01628][c] + [1.0][m01974][c] => [1.0][m01285][c] + [1.0][m02751][c] + [1.0][m01927][c]
HMR_4851	[1.0][m01306][c] + [1.0][m02943][m] <=> [1.0][m01306][m] + [1.0][m02943][c]
HMR_4326	[1.0][m01371][c] + [1.0][m01927][c] + [1.0][m01986][c] => [1.0][m01285][c] + [1.0][m02026][c] + [1.0][m02751][c]
HMR_4321	[1.0][m01840][c] <=> [1.0][m01840][s]
HMR_4320	[1.0][m01371][c] + [1.0][m02454][c] => [1.0][m01285][c] + [1.0][m01717][c]
HMR_4323	[1.0][m02042][c] + [1.0][m02896][c] => [1.0][m02040][c] + [1.0][m01628][c]
HMR_4854	[1.0][m01862][c] + [1.0][m02943][m] <=> [1.0][m01862][m] + [1.0][m02943][c]
HMR_4769	[6.0][m02039][c] + [1.0][m03125][c] <=> [1.0][m03128][c]
HMR_3498	[1.0][m00078][p] + [1.0][m02630][p] => [1.0][m02041][p] + [1.0][m03027][p]
HMR_3493	[1.0][m00075][p] + [1.0][m01334][p] + [1.0][m02759][p] <=> [1.0][m01371][p] + [1.0][m01597][p] + [1.0][m02766][p]
HMR_3491	[1.0][m00075][p] <=> [1.0][m00078][p]
HMR_5638	[1.0][m02519][s] + [1.0][m02896][s] + [1.0][m03101][c] => [1.0][m02519][c] + [1.0][m02896][c] + [1.0][m03101][s]
HMR_5639	[1.0][m02519][s] + [1.0][m01628][c] + [1.0][m02896][s] => [1.0][m02519][c] + [1.0][m01628][s] + [1.0][m02896][c]
HMR_5630	[1.0][m02519][s] + [1.0][m01975][s] + [1.0][m02136][c] => [1.0][m02519][c] + [1.0][m01975][c] + [1.0][m02136][s]
HMR_5631	[1.0][m02519][s] + [1.0][m01975][s] + [1.0][m02184][c] => [1.0][m02519][c] + [1.0][m01975][c] + [1.0][m02184][s]
HMR_5632	[1.0][m02519][s] + [1.0][m01986][c] + [1.0][m02896][s] => [1.0][m02519][c] + [1.0][m01986][s] + [1.0][m02896][c]
